Variable,Coeficiente,Abs_Coef
O2_min,-0.48226772334791174,0.48226772334791174
O2_Media,-0.20187001710557426,0.20187001710557426
O2_max,0.13183807315768478,0.13183807315768478
Temp,0.041366720250643155,0.041366720250643155
H2S,-0.02516648600469055,0.02516648600469055
CO,-0.007796241118318364,0.007796241118318364
